file,group,t_min,GFP.background,GFP.total,GFP.p999,GFP.peak,GFP.area,ESID.background,set_Offset,set_DigitalGain,set_LaserScanPixelTime,set_Power,set_Attenuation,set_PinholeSizeAiry,timestamp
Control_stack,Control,0.0,151.0,413638315.0,865.0,6357.157100437934,6.522292088333333,448.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T15:27:11.1676439Z
Control_stack_2_,Control,4.390184438333334,149.0,406463075.0,744.0,5136.264066442863,4.8006718416666665,450.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T15:31:34.5787102Z
Control_stack_3_,Control,16.621350688333333,148.0,405965636.0,823.0,4175.664508218404,7.449318375,429.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T15:43:48.4486852Z
Control_stack_4_,Control,20.40815061333333,148.0,403110372.0,695.0,2773.3586895675817,5.330401148333333,436.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T15:47:35.6566807Z
Control_stack_5_,Control,24.333358456666662,147.0,402195344.0,877.5610000002198,4052.354453540274,5.131752658333333,438.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T15:51:31.1691513Z
Control_stack_6_,Control,27.727252575,148.0,403550824.0,714.0,3527.669612755392,4.8006718416666665,444.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T15:54:54.8027984Z
Control_stack_7_,Control,31.103362345,147.0,407656928.0,864.0,5301.262854650614,5.330401148333333,442.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T15:58:17.3693846Z
Control_stack_8_,Control,34.679400215,147.0,399486271.0,766.5610000002198,5092.872331287993,6.456075925,444.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:01:51.9316568Z
Control_stack_9_,Control,38.73633225833333,148.0,403176952.0,865.0,5551.449997985499,5.7276981283333335,437.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:05:55.3475794Z
Control_stack_10_,Control,43.74345198333333,148.0,403575729.0,717.0,5810.879695014265,5.396617311666667,441.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:10:55.7747629Z
Control_stack_11_,Control,46.770525121666665,148.0,407706283.0,870.0,5027.339596952444,4.8006718416666665,444.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:13:57.3991512Z
Control_stack_12_,Control,50.781021175,147.0,403017683.0,864.5610000002198,3475.6981343108014,5.959454699999999,442.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:17:58.0289144Z
Control_stack_13_,Control,53.89968288666667,145.0,399897052.0,827.0,5874.130061522613,7.416210293333333,442.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:21:05.1486171Z
Control_stack_14_,Control,71.35641468666667,145.0,395112383.0,644.0,5045.689745579475,5.661481964999999,437.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:38:32.5525251Z
Control_stack_15_,Control,75.94671057000001,147.0,458574041.0,4034.12200000044,33656.05479867946,6.919589068333333,401.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:43:07.9702781Z
Control_stack_16_,Control,78.81277449999999,146.0,400981009.0,636.0,3437.8201699960086,6.621616333333333,438.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:45:59.9341139Z
Control_stack_17_,Control,81.57573253166667,147.0,406878987.0,788.0,5547.189647794432,5.098644576666667,445.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:48:45.7115958Z
Control_stack_18_,Control,84.40957795166668,147.0,407096404.0,895.0,5466.52723091625,7.151345639999999,437.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:51:35.742321Z
Control_stack_19_,Control,87.74233524166667,147.0,410152555.0,911.0,3328.8347929714987,6.720940578333334,448.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T16:54:55.7077584Z
Control_stack_20_,Control,93.38995826666664,145.0,402799886.0,838.0,6160.502801239079,8.111480008333332,446.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T17:00:34.5651399Z
Control_stack_21_,Control,97.344617795,145.0,408073901.0,1448.0,11140.7899794251,5.760806209999999,436.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T17:04:31.8447116Z
oliDA_1en5_stack,OliDA 1/5,145.7827883,143.0,395371124.0,907.0,5145.712952857018,7.052021394999998,443.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T17:52:58.1349419Z
oliDA_1en5_stack_2_,OliDA 1/5,148.62076728833333,144.0,396063825.0,813.0,4266.094883095411,5.529049638333333,448.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T17:55:48.4136812Z
oliDA_1en5_stack_3_,OliDA 1/5,152.48555500833334,144.0,401676627.0,979.5610000002198,2062.694613495801,4.8999960866666665,450.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T17:59:40.3009444Z
oliDA_1en5_stack_4_,OliDA 1/5,156.37336071166666,143.0,398216818.0,946.0,6035.908938718595,5.197968821666666,454.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:03:33.5692866Z
oliDA_1en5_stack_5_,OliDA 1/5,159.28976085333335,143.0,396444586.0,970.0,2554.804830356107,5.992562781666666,454.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:06:28.5532951Z
oliDA_1en5_stack_6_,OliDA 1/5,162.64511943666668,143.0,395268580.0,880.0,9705.301943975564,5.231076903333333,405.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:09:49.8748101Z
oliDA_1en5_stack_7_,OliDA 1/5,166.07853465000002,144.0,397945396.0,1018.0,3085.909503563203,6.091887026666666,406.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:13:15.8797229Z
oliDA_1en5_stack_8_,OliDA 1/5,171.00793326166666,143.0,396448968.0,927.5610000002198,4359.969323185055,5.363509229999999,445.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:18:11.6436396Z
oliDA_1en5_stack_9_,OliDA 1/5,173.99318734166667,143.0,392196041.0,768.0,3990.2356955171817,5.992562781666667,445.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:21:10.7588844Z
oliDA_1en5_stack_10_,OliDA 1/5,188.1924161583333,144.0,393318347.0,725.5610000002198,3161.966118159911,6.158103189999999,416.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:35:22.7126134Z
oliDA_1en5_stack_11_,OliDA 1/5,192.71469148333333,145.0,422039978.0,2389.56100000022,13712.414216392071,7.217561803333332,418.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:39:54.0491329Z
oliDA_1en5_stack_12_,OliDA 1/5,196.52805959666665,143.0,395734093.0,950.0,4718.782685559642,6.75404866,440.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:43:42.8512197Z
oliDA_1en5_stack_13_,OliDA 1/5,200.66891310666668,143.0,394910876.0,855.0,3399.4048150136555,5.5290496383333325,444.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T18:47:51.3024303Z
