file,group,t_min,peak_raw,area_raw,n_objects_raw,peak_corrected,area_corrected,n_objects_corrected
Control_stack,Control,0.0,2960.138985,11.347795,8,2960.138985,11.347795,8
Control_stack_10_,Control,43.743452,2955.37878,11.609901,9,3105.33392,11.609901,9
Control_stack_11_,Control,46.770525,2670.68525,10.950498,8,2814.798284,10.950498,8
Control_stack_12_,Control,50.781021,1532.681218,11.342829,10,1621.840473,11.342829,10
Control_stack_13_,Control,53.899683,2620.500851,11.720261,7,2781.405049,11.720261,7
Control_stack_14_,Control,71.356415,2684.953551,10.958775,6,2896.448548,10.958775,6
Control_stack_15_,Control,75.946711,15935.335351,11.243505,10,17260.196039,11.243505,10
Control_stack_16_,Control,78.812774,2655.77812,10.925667,4,2360.636982,10.885937,5
Control_stack_17_,Control,81.575733,2630.797004,12.051342,6,2827.464679,11.720261,8
Control_stack_18_,Control,84.409578,3053.44966,11.587829,9,3331.263464,11.587829,9
Control_stack_19_,Control,87.742335,3257.549517,13.441881,3,3563.752735,13.441881,3
Control_stack_20_,Control,93.389958,2794.245264,11.496781,8,3070.90709,11.496781,8
Control_stack_21_,Control,97.344618,5704.745892,11.561342,5,6289.204859,11.561342,5
Control_stack_2_,Control,4.390184,1550.820196,11.894078,8,1559.270975,11.894078,8
Control_stack_3_,Control,16.621351,2027.919488,11.181072,7,2068.902655,11.181072,7
Control_stack_4_,Control,20.408151,3338.923049,10.687289,5,3421.239877,10.687289,5
Control_stack_5_,Control,24.333358,3021.362171,10.925667,6,3374.377921,10.965397,5
Control_stack_6_,Control,27.727253,2724.526372,11.606747,7,2814.642297,11.606747,7
Control_stack_7_,Control,31.103362,2989.580055,10.52837,8,3099.855047,10.52837,8
Control_stack_8_,Control,34.6794,3080.405566,11.833774,7,3206.307291,11.833774,7
Control_stack_9_,Control,38.736332,2676.515322,11.024991,6,2797.841357,11.024991,6
DA140uM_stack,DA 140uM,351.09015,1731.020573,11.993403,8,2129.313906,11.993403,8
DA140uM_stack_10_,DA 140uM,383.792754,3160.152036,11.372626,4,3209.57205,10.727018,5
DA140uM_stack_11_,DA 140uM,386.843245,1601.268743,11.408099,7,1982.474494,11.408099,7
DA140uM_stack_2_,DA 140uM,354.964922,2546.887452,12.183774,6,3135.301526,12.183774,6
DA140uM_stack_3_,DA 140uM,357.862687,3428.01551,12.287828,7,4222.367351,12.287828,7
DA140uM_stack_4_,DA 140uM,361.308451,5731.01628,11.298133,8,7063.655563,11.298133,8
DA140uM_stack_5_,DA 140uM,364.094794,4244.314024,11.356072,6,5233.973769,11.356072,6
DA140uM_stack_6_,DA 140uM,367.825974,3386.978072,10.627694,6,3618.242809,10.86891,7
DA140uM_stack_7_,DA 140uM,370.820229,2306.241002,11.543684,9,2847.476879,11.543684,9
DA140uM_stack_8_,DA 140uM,374.9839,3322.863143,11.968572,4,4105.698478,11.968572,4
DA140uM_stack_9_,DA 140uM,377.775243,1842.130345,11.209451,7,2277.21852,11.209451,7
DAD9_140uM_stack,DAD9 140uM,399.115764,3326.356037,10.846208,5,4126.215323,10.846208,5
DAD9_140uM_stack_10_,DAD9 140uM,427.739967,1903.998212,11.198809,8,2138.323294,11.27882,9
DAD9_140uM_stack_2_,DAD9 140uM,403.166045,2289.497448,10.86891,7,2522.596314,11.149147,8
DAD9_140uM_stack_3_,DAD9 140uM,406.155033,2075.581167,11.248471,8,2577.382396,11.248471,8
DAD9_140uM_stack_4_,DAD9 140uM,408.78285,1982.854752,11.102243,9,2453.081817,11.359082,11
