file,timestamp,px_um,z_um,set_PinholeSizeAiry,set_Voltage,set_DigitalGain,set_Offset,set_Power,set_ExcitationWavelength,set_LaserScanPixelTime,set_BitsPerPixel,set_Attenuation,set_Zoom,group,n_channels,ZsGr1.background,ZsGr1.p01,ZsGr1.p99,ZsGr1.p999,ZsGr1.total,ZsGr1.mad,ZsGr1.sat_frac,ZsGr1.offset,ZsGr1.n_voxels,ESID.background,ESID.p01,ESID.p99,ESID.p999,ESID.total,ESID.mad,ESID.sat_frac,ESID.offset,ESID.n_voxels,t_min
Control stack.czi,2026-08-13T15:27:11.1676439Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,151.0,144.0,257.0,865.0,413638315.0,2.0,0.0,100.0,2621440.0,448.0,164.0,475.0,481.0,1108747379.0,13.0,0.0,0.0,2621440.0,0.0
Control stack (2).czi,2026-08-13T15:31:34.5787102Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,149.0,142.0,250.0,744.0,406463075.0,2.0,0.0,100.0,2621440.0,450.0,171.0,478.0,484.0,1109167855.0,12.0,0.0,0.0,2621440.0,4.390184438333334
Control stack (3).czi,2026-08-13T15:43:48.4486852Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,148.0,141.0,252.0,823.0,405965636.0,2.0,0.0,100.0,2621440.0,429.0,126.0,465.0,471.0,1059836647.0,17.0,0.0,0.0,2621440.0,16.621350688333333
Control stack (4).czi,2026-08-13T15:47:35.6566807Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,148.0,141.0,243.0,695.0,403110372.0,2.0,0.0,100.0,2621440.0,436.0,97.0,459.0,466.0,1050945793.0,9.0,0.0,0.0,2621440.0,20.40815061333333
Control stack (5).czi,2026-08-13T15:51:31.1691513Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,147.0,140.0,242.0,877.5610000002198,402195344.0,2.0,0.0,100.0,2621440.0,438.0,106.0,464.0,471.0,1069286890.0,12.0,0.0,0.0,2621440.0,24.333358456666666
Control stack (6).czi,2026-08-13T15:54:54.8027984Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,148.0,140.0,251.0,714.0,403550824.0,3.0,0.0,100.0,2621440.0,444.0,146.0,472.0,479.0,1081238758.0,11.0,0.0,0.0,2621440.0,27.727252575
Control stack (7).czi,2026-08-13T15:58:17.3693846Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,147.0,141.0,270.0,864.0,407656928.0,2.0,0.0,100.0,2621440.0,442.0,126.0,471.0,477.0,1067082307.0,14.0,0.0,0.0,2621440.0,31.103362345
Control stack (8).czi,2026-08-13T16:01:51.9316568Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,147.0,139.0,243.0,766.5610000002198,399486271.0,2.0,0.0,100.0,2621440.0,444.0,148.0,472.0,478.0,1109986532.0,10.0,0.0,0.0,2621440.0,34.679400215
Control stack (9).czi,2026-08-13T16:05:55.3475794Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,148.0,141.0,238.0,865.0,403176952.0,2.0,0.0,100.0,2621440.0,437.0,102.0,465.0,471.0,1042457353.0,14.0,0.0,0.0,2621440.0,38.73633225833333
Control stack (10).czi,2026-08-13T16:10:55.7747629Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",Control,2,148.0,141.0,234.0,717.0,403575729.0,2.0,0.0,100.0,2621440.0,441.0,141.0,465.0,471.0,1089726414.0,9.0,0.0,0.0,2621440.0,43.74345198333333
